field_id,date,timestamp,temperature,humidity_air,precipitation,wind_speed,soil_moisture,crop_type,soil_type,yield_actual,irrigation_volume,irrigation_recommended,is_anomaly,humidity,precipitation_7d,avg_temperature_7d,solar_radiation,crop_code,soil_code,yield_tha
field_001,2024-04-01,2024-04-01T00:00:00,32.09,57.04,21.46,11.07,52.42,barley,Чернозём,0.5274,0.0,0.0,False,57.04,179.91,29.65,606.68,3,0,3.691
field_002,2024-04-01,2024-04-01T00:00:00,27.54,85.06,11.09,8.95,60.92,corn,Глинистый,0.6087,1.83,1.43,False,85.06,56.43,27.86,646.58,1,3,7.305
field_003,2024-04-01,2024-04-01T00:00:00,32.24,39.21,11.67,13.55,42.93,sunflower,Суглинок,0.439,5.86,5.97,False,39.21,44.42,30.17,596.86,2,1,1.756
field_004,2024-04-01,2024-04-01T00:00:00,9.55,59.73,5.67,11.33,49.97,sugar_beet,Суглинок,0.4646,7.78,7.01,False,59.73,46.45,9.17,649.36,5,1,27.878
field_005,2024-04-01,2024-04-01T00:00:00,12.0,25.54,19.67,8.09,37.65,wheat,Чернозём,0.5539,6.68,6.07,False,25.54,160.41,13.23,425.35,0,0,4.431
field_006,2024-04-01,2024-04-01T00:00:00,24.78,80.84,15.87,6.28,77.94,other,Суглинок,0.5908,0.0,0.0,False,80.84,117.03,25.14,168.49,6,1,3.545
field_007,2024-04-02,2024-04-02T00:00:00,7.04,45.54,7.34,5.87,39.68,sunflower,Торфяной,0.4291,5.07,7.11,False,45.54,59.7,7.38,548.59,2,4,1.716
field_008,2024-04-02,2024-04-02T00:00:00,30.28,58.72,4.03,5.52,46.58,corn,Суглинок,0.6725,5.92,6.45,False,58.72,28.25,28.2,417.69,1,1,8.07
field_009,2024-04-02,2024-04-02T00:00:00,9.13,95.22,22.71,10.12,98.0,sugar_beet,Песчаник,0.3951,0.0,0.0,True,95.22,190.76,7.73,617.25,5,2,23.708
field_010,2024-04-02,2024-04-02T00:00:00,36.59,58.27,5.06,10.69,39.19,barley,Глинистый,0.3924,4.07,3.78,False,58.27,28.54,37.07,663.97,3,3,2.747
field_011,2024-04-02,2024-04-02T00:00:00,27.74,31.16,10.4,1.72,39.41,corn,Песчаник,0.5078,11.25,8.96,False,31.16,39.41,27.71,236.71,1,2,6.093
field_012,2024-04-03,2024-04-03T00:00:00,17.14,68.14,0.57,6.97,47.48,soy,Песчаник,0.3123,6.39,6.13,False,68.14,5.82,17.03,199.64,4,2,1.406
field_013,2024-04-03,2024-04-03T00:00:00,14.34,49.2,13.02,2.22,56.13,sunflower,Песчаник,0.4726,1.49,1.35,False,49.2,85.55,11.47,687.7,2,2,1.89
field_014,2024-04-03,2024-04-03T00:00:00,28.08,78.07,19.22,7.9,64.33,barley,Суглинок,0.602,0.0,0.0,False,78.07,81.75,30.58,172.45,3,1,4.214
field_015,2024-04-03,2024-04-03T00:00:00,38.35,46.24,12.88,6.26,49.07,other,Торфяной,0.4308,4.39,3.82,False,46.24,68.14,40.97,176.95,6,4,2.585
field_016,2024-04-03,2024-04-03T00:00:00,36.27,62.88,7.9,10.53,59.2,sunflower,Суглинок,0.4821,0.24,0.28,False,62.88,70.33,37.24,206.68,2,1,1.928
field_017,2024-04-03,2024-04-03T00:00:00,34.09,36.19,4.48,10.95,98.92,sunflower,Торфяной,0.4221,5.47,6.95,True,36.19,34.49,36.34,336.19,2,4,1.688
field_018,2024-04-04,2024-04-04T00:00:00,28.72,33.89,12.66,10.1,30.2,corn,Чернозём,0.6073,9.43,12.18,False,33.89,105.82,29.2,632.47,1,0,7.287
field_019,2024-04-04,2024-04-04T00:00:00,18.92,46.97,12.21,0.64,43.95,sugar_beet,Песчаник,0.6567,6.96,9.12,False,46.97,99.43,21.65,704.89,5,2,39.4
field_020,2024-04-04,2024-04-04T00:00:00,19.67,95.53,14.9,0.54,68.27,barley,Глинистый,0.7404,0.0,0.0,False,95.53,149.47,21.5,620.86,3,3,5.183
